"Block","Condition","Task","Accuracy"
1,"RuleBasedInput","Comprehension",69.2307692307692
1,"RuleBasedInput","GJT",58.6538461538462
1,"RuleBasedInput","Production",13.4615384615385
1,"StrongBias","Comprehension",73.2954545454545
1,"StrongBias","GJT",55.6818181818182
1,"StrongBias","Production",27.2727272727273
1,"WeakBias","Comprehension",78.9772727272727
1,"WeakBias","GJT",56.8181818181818
1,"WeakBias","Production",29.5454545454545
2,"RuleBasedInput","Comprehension",84.6153846153846
2,"RuleBasedInput","GJT",73.0769230769231
2,"RuleBasedInput","Production",50.9615384615385
2,"StrongBias","Comprehension",80.1136363636364
2,"StrongBias","GJT",69.3181818181818
2,"StrongBias","Production",57.9545454545455
2,"WeakBias","Comprehension",82.9545454545455
2,"WeakBias","GJT",57.9545454545455
2,"WeakBias","Production",44.3181818181818
3,"RuleBasedInput","Comprehension",87.9807692307692
3,"RuleBasedInput","GJT",80.7692307692308
3,"RuleBasedInput","Production",54.8076923076923
3,"StrongBias","Comprehension",81.25
3,"StrongBias","GJT",78.4090909090909
3,"StrongBias","Production",68.1818181818182
3,"WeakBias","Comprehension",89.7727272727273
3,"WeakBias","GJT",65.9090909090909
3,"WeakBias","Production",57.9545454545455
4,"RuleBasedInput","Comprehension",89.6634615384615
4,"RuleBasedInput","GJT",78.8461538461538
4,"RuleBasedInput","Production",53.8461538461538
4,"StrongBias","Comprehension",89.2045454545455
4,"StrongBias","GJT",78.4090909090909
4,"StrongBias","Production",68.1818181818182
4,"WeakBias","Comprehension",92.6136363636364
4,"WeakBias","GJT",68.1818181818182
4,"WeakBias","Production",65.9090909090909
