Versuchsperson,Position,Wort,Übersetzung,Richtig
1034,1,söka,Socken,0
1034,2,försiktig,vorsichtig,1
1034,3,mjölk,Milch,1
1034,4,behärska,,0
1034,5,fiende,finden,0
2384,1,fiende,,0
2384,2,behärska,,0
2384,3,försiktig,vorsichtig,1
2384,4,mjölk,Milch,1
2384,5,söka,Socke,0
8667,1,mjölk,Milch,1
8667,2,behärska,,0
8667,3,fiende,finden,0
8667,4,söka,suchen,1
8667,5,försiktig,vorsichtig,1
5901,1,behärska,beherrschen,1
5901,2,mjölk,milch,1
5901,3,försiktig,vorsichtig,1
5901,4,fiende,feinde,1
5901,5,söka,socken,0
